id,code,name,street,street2,zip,city,subtype,weight,lot_routing,distri_sort,version_plan,dropoff_type
drop_6H_0,110210,BUREAU DE POSTE AXAT BP,1 PLACE DU JARDIN PUBLIC,,11140,AXAT,BPR,20,,,,colipostefr
drop_6H_1,756960,BUREAU DE POSTE PARIS OPERA BP,8 RUE AUBER,,75009,PARIS,BPR,20,,,,colipostefr
drop_6H_2,756970,BUREAU DE POSTE PARIS SAINT LAMBERT,2 RUE JOSEPH LIOUVILLE,,75015,PARIS,BPR,20,,,,colipostefr
drop_6H_3,756990,BUREAU DE POSTE PARIS PARC DE LA VILLETTE,3 AV DU NOUVEAU CONSERVATOIRE,,75019,PARIS,BPR,20,,,,colipostefr
drop_6H_4,757000,BUREAU DE POSTE PARIS PARC DES PRINCES,109 BOULEVARD MURAT,,75016,PARIS,BPR,20,,,,colipostefr
drop_6H_5,757010,BUREAU DE POSTE PARIS BUTTE AUX CAILLES,216 RUE DE TOLBIAC,,75013,PARIS,BPR,20,,,,colipostefr
drop_6H_6,757020,BUREAU DE POSTE PARIS BIENVENUE,42 BOULEVARD DE VAUGIRARD,,75015,PARIS,BPR,20,,,,colipostefr
drop_6H_7,757030,BUREAU DE POSTE PARIS SAINTONGE BP,64 RUE DE SAINTONGE,,75003,PARIS,BPR,20,,,,colipostefr
drop_6H_8,757040,BUREAU DE POSTE PARIS DEBUSSY,23 B RUE LEGENDRE,,75017,PARIS,BPR,20,,,,colipostefr
drop_6H_9,757050,BUREAU DE POSTE PARIS FAUBOURG ST ANTOINE CROZATIE,80 AVENUE LEDRU ROLLIN,,75012,PARIS,BPR,20,,,,colipostefr
drop_6H_10,757060,BUREAU DE POSTE PARIS TROCADERO CHAILLOT ETOILE,51 RUE DE LONGCHAMP,,75116,PARIS,BPR,20,,,,colipostefr
drop_6H_11,110220,BUREAU DE POSTE AZILLE BP,4 RUE DE LA POSTE,,11700,AZILLE,BPR,20,,,,colipostefr
drop_6H_12,757070,BUREAU DE POSTE PARIS OURCQ,62 RUE DE L OURCQ,,75019,PARIS,BPR,20,,,,colipostefr
drop_6H_13,757080,BUREAU DE POSTE PARIS HAUSSMANN,7 BOULEVARD HAUSSMANN,,75009,PARIS,BPR,20,,,,colipostefr
drop_6H_14,381310,BUREAU DE POSTE LES COTES D AREY BP,SQUARE DU SOUVENIR,,38138,LES COTES D AREY,BPR,20,,,,colipostefr
drop_6H_15,381340,BUREAU DE POSTE COUR ET BUIS BP,LE VILLAGE,,38122,COUR ET BUIS,BPR,20,,,,colipostefr
drop_6H_16,382420,BUREAU DE POSTE MONESTIER DE CLERMONT BP,GRAND RUE,,38650,MONESTIER DE CLERMONT,BPR,20,,,,colipostefr
drop_6H_17,382470,BUREAU DE POSTE MONTALIEU VERCIEU BP,RUE DU BESSET,,38390,MONTALIEU VERCIEU,BPR,20,,,,colipostefr
drop_6H_18,382490,BUREAU DE POSTE MONTBONNOT ST MARTIN BP,628 RUE GENERAL DE GAULLE,,38330,MONTBONNOT ST MARTIN,BPR,20,,,,colipostefr
drop_6H_19,757160,BUREAU DE POSTE PARIS ARTS ET METIERS,259 RUE SAINT MARTIN,,75003,PARIS,BPR,20,,,,colipostefr
drop_6H_20,757170,BUREAU DE POSTE PARIS CHATELET,27 RUE LAVANDIERES STE OPPORTUNE,,75001,PARIS,BPR,20,,,,colipostefr
drop_6H_21,110230,BUREAU DE POSTE BADENS BP,27 AVENUE GEORGES DEGRAND,,11800,BADENS,BPR,20,,,,colipostefr
drop_6H_22,757180,BUREAU DE POSTE PARIS SAINT LAZARE,7 RUE DE LA PEPINIERE,,75008,PARIS,BPR,20,,,,colipostefr
drop_6H_23,757190,BUREAU DE POSTE PARIS RICHARD LENOIR,97 BOULEVARD RICHARD LENOIR,,75011,PARIS,BPR,20,,,,colipostefr
drop_6H_24,757200,BUREAU DE POSTE PARIS LA FONTAINE BP,3 RUE JEAN DE LAFONTAINE,,75016,PARIS,BPR,20,,,,colipostefr
drop_6M_0,1805,FLEURISTE JULIE BARRAL,AVENUE DU GENERAL DE GAULLE,CENTRE COMMERCIAL LE MAIL,78140,VELIZY,A2P,20,VER,78U65,1,colipostefr
drop_6M_1,2068,FLEURISTE UN AMOUR DE COCCINELLE,13 RUE PROUDHON,,34000,MONTPELLIER,A2P,20,MPL0,34M10,1,colipostefr
drop_6M_2,2306,FLEURS CAPUCINE,1 RUE DU MAL DE LATTRE DE TASSIGNY,,68730,BLOTZHEIM,A2P,20,MLH,68U11,1,colipostefr
drop_6M_3,2054,FLEURS DACANTHE/INTERFLORA,22 AVENUE DU GENERAL DE GAULLE,,17410,ST MARTIN DE RE,A2P,20,PIS,17U58,1,colipostefr
drop_6M_4,5566,FLEURS DE CHINE,46 RUE JULES GUESDE,,62410,WINGLES,A2P,20,ARA,62S62,1,colipostefr
drop_6M_5,6265,FLEURS DE LYS,7 AVENUE DES POILUS,FACE A LA POSTE ,59552,LAMBRES LEZ DOUAI,A2P,20,ARA,62S12,1,colipostefr
drop_6M_6,6845,FLEURS DE ROSEE,16 A AVENUE DU LAURAGAIS,,31450,LABASTIDE BEAUVOIR,A2P,20,TLS0,31D20,1,colipostefr
drop_6M_7,1540,FLEURS F.DUCROS,PLACE SALEON TERRAS,,07160,LE CHEYLARD,A2P,20,VAL,07S90,1,colipostefr
drop_6M_8,5302,FLORE RENAUD,9 PLACE DE GAULLE,,85300,CHALLANS,A2P,20,NTE,85P10,1,colipostefr
drop_6M_9,5906,FLORIDE FLEURS,8 AV DU PDT J FITZGERALD KENNEDY,,59800,LILLE,A2P,20,LIL0,59M08,1,colipostefr
drop_6M_10,4148,AIRDECO.FR (DEGUISEMENT),86 RUE PIERRE ET MARIE CURIE,,34430,ST JEAN DE VEDAS,A2P,20,MPL0,34U31,1,colipostefr
drop_6M_11,6891,FOCI PHOTO CO,6 RUE ROGER GOMMIER,,28150,VOVES,A2P,20,CHT,,1,colipostefr
drop_6M_12,6627,INFORMATIQUE 78,1 RUE DE VERSAILLES,,78490,MONTFORT L AMAURY,A2P,20,VER,78U14,1,colipostefr
drop_6M_13,1356,INKOLAB,8 B RUE ABEL,,75012,PARIS,A2P,20,FTV,,1,colipostefr
drop_6M_14,5221,INTER CAVES,4 QUAI HIPPOLYTE ROSSIGNOL,,77000,MELUN,A2P,20,MLV,77S54,1,colipostefr
drop_6M_15,5862,INTERIEUR JOUR,3 RUE RENE LANOY,,62300,LENS,A2P,20,ARA,,1,colipostefr
drop_6M_16,6308,IO,7 RUE DU CHATEL,,60300,SENLIS,A2P,20,CRE0,60U61,1,colipostefr
drop_6M_17,5332,IRISH COFFEE,10 RUE DU COLLEGE,,59300,VALENCIENNES,A2P,20,XVS,,1,colipostefr
drop_6M_18,5737,JARDIN D ANAIS,12 RUE JEAN BAPTISTE CLEMENT,,08120,BOGNY SUR MEUSE,A2P,20,RHE,08T05,1,colipostefr
drop_6M_19,1181,JARDIN DEDEN,6 RUE NATIONALE,,72000,LE MANS,A2P,20,MNS,,1,colipostefr
drop_6M_20,5097,JE CONSOLE,33 RUE DE LA BOULE D OR,,10100,ROMILLY SUR SEINE,A2P,20,TOY,10R60,1,colipostefr
drop_6M_21,1320,JOLYS FLEURS,60 AVENUE LOUIS TABARDEL,,12740,SEBAZAC CONCOURES,A2P,20,LBI0,,1,colipostefr
drop_6M_22,2568,JOYSUN,16 PLACE DU GENERAL DE GAULLE,,93220,GAGNY,A2P,20,BBY0,93V12,1,colipostefr
drop_6M_23,1609,LA BOITE A FLEURS,23 PLACE DU MARTRAY,,22220,TREGUIER,A2P,20,RNS0,,1,colipostefr
drop_6M_24,1950,LA BOITE A LUNETTES,9 RUE NOTRE DAME,,22940,PLAINTEL,A2P,20,RNS0,22S50,1,colipostefr
drop_6J_0,923580,ESPACE CITYSSIMO ISSY VAL DE SEINE,62 RUE CAMILLE DESMOULINS,,92130,ISSY LES MOULINEAUX,CIT,20,,,,colipostefr
drop_6J_1,923570,ESPACE CITYSSIMO LA DEFENSE,PLACE DE LA DEFENSE GARE RER,ESPACE VILLAGE SERVICES,92000,NANTERRE,CIT,20,,,,colipostefr
drop_6J_2,923850,ESPACE CITYSSIMO LEVALLOIS PERRET,68 RUE DU PRESIDENT WILSON,,92300,LEVALLOIS PERRET,CIT,20,,,,colipostefr
drop_6J_3,597860,ESPACE CITYSSIMO LILLE REPUBLIQUE,8 PLACE DE LA REPUBLIQUE,,59031,LILLE CEDEX,CIT,20,,,,colipostefr
drop_6J_4,750804,ESPACE CITYSSIMO PARIS ARCHIVES,67 RUE DES ARCHIVES,,75003,PARIS,CIT,20,,,,colipostefr
drop_6J_5,750805,ESPACE CITYSSIMO PARIS BEAUX ARTS,1 RUE DE L UNIVERSITE,,75007,PARIS,CIT,20,,,,colipostefr
drop_6J_6,750207,ESPACE CITYSSIMO PARIS BOURSE,9 RUE FEYDEAU,,75002,PARIS,CIT,20,,,,colipostefr
drop_6J_7,750855,ESPACE CITYSSIMO PARIS BRUNE,111 BOULEVARD BRUNE,,75014,PARIS,CIT,20,,,,colipostefr
drop_6J_8,750995,ESPACE CITYSSIMO PARIS GARE DU NORD,169 RUE DU FAUBOURG SAINT DENIS,,75010,PARIS,CIT,20,,,,colipostefr
drop_6J_9,750861,ESPACE CITYSSIMO PARIS HAUSSMANN,39 RUE DE PROVENCE,,75009,PARIS,CIT,20,,,,colipostefr
drop_6J_10,750163,ESPACE CITYSSIMO PARIS JUSSIEU,30 B RUE DU CARDINAL LEMOINE,,75005,PARIS,CIT,20,,,,colipostefr
drop_6J_11,750185,ESPACE CITYSSIMO PARIS LAUMIERE,28 RUE DU RHIN,,75019,PARIS,CIT,20,,,,colipostefr
drop_6J_12,750374,ESPACE CITYSSIMO PARIS LES HALLES,FORUM DES HALLES,,75001,PARIS,CIT,20,,,,colipostefr
drop_6J_13,750183,ESPACE CITYSSIMO PARIS LOUVRE,52 RUE DU LOUVRE,,75001,PARIS,CIT,20,,,,colipostefr
drop_6J_14,750302,ESPACE CITYSSIMO PARIS MARCADET,107 RUE MARCADET,,75018,PARIS,CIT,20,,,,colipostefr
drop_6J_15,750373,ESPACE CITYSSIMO PARIS MERCOEUR,80 RUE LEON FROT,,75011,PARIS,CIT,20,,,,colipostefr
drop_6J_16,750365,ESPACE CITYSSIMO PARIS MOUSSY,10 RUE DE MOUSSY,,75004,PARIS,CIT,20,,,,colipostefr
drop_6J_17,750198,ESPACE CITYSSIMO PARIS PASTEUR,58 BD PASTEUR,,75015,PARIS,CIT,20,,,,colipostefr
drop_6J_18,750856,ESPACE CITYSSIMO PARIS PERE LACHAISE,132 RUE DES PYRENEES,,75020,PARIS,CIT,20,,,,colipostefr
drop_6J_19,750813,ESPACE CITYSSIMO PARIS PTE DE BAGNOLET,4 PLACE DE LA PORTE DE BAGNOLET,,75020,PARIS,CIT,20,,,,colipostefr
drop_6J_20,758830,ESPACE CITYSSIMO PARIS RICHARD LENOIR,90 BOULEVARD RICHARD LENOIR,,75011,PARIS,CIT,20,,,,colipostefr
drop_6J_21,751024,ESPACE CITYSSIMO PARIS RIVE GAUCHE,1 RUE OLIVIER MESSIAEN,,75013,PARIS,CIT,20,,,,colipostefr
drop_6J_22,758840,ESPACE CITYSSIMO PARIS SAINT-CHARLES,51 PLACE SAINT CHARLES,,75015,PARIS,CIT,20,,,,colipostefr
drop_6J_23,750994,ESPACE CITYSSIMO PARIS TOLBIAC,238 RUE DE TOLBIAC,,75013,PARIS,CIT,20,,,,colipostefr
drop_6J_24,750184,ESPACE CITYSSIMO PARIS WAGRAM,66 RUE DE PRONY,,75017,PARIS,CIT,20,,,,colipostefr
